benchmark,variant,pass_order,flags,wat_size,wasm_size,runs,warmup_runs,p25_ms,median_ms,p75_ms,result
rt01-fib-recursive,baseline,inline-unroll-tail,"--pass-order=inline,unroll,tail",10243,612,5,1,20.793199000763707,21.066322005935945,21.91227000730578,75025
rt01-fib-recursive,baseline,inline-tail-unroll,"--pass-order=inline,tail,unroll",10243,612,5,1,20.946850505424663,21.65896700171288,22.260603502218146,75025
rt01-fib-recursive,baseline,unroll-inline-tail,"--pass-order=unroll,inline,tail",10243,612,5,1,20.656325003074016,21.243408002192155,21.444594996864907,75025
rt01-fib-recursive,baseline,unroll-tail-inline,"--pass-order=unroll,tail,inline",10243,612,5,1,20.42688250367064,21.487471007276326,21.9714795020991,75025
rt01-fib-recursive,baseline,tail-inline-unroll,"--pass-order=tail,inline,unroll",10243,612,5,1,20.777920493856072,21.275428996887058,22.174348996486515,75025
rt01-fib-recursive,baseline,tail-unroll-inline,"--pass-order=tail,unroll,inline",10243,612,5,1,20.488556496275123,21.4470600039931,21.668466994015034,75025
rt01-fib-recursive,no-inline,inline-unroll-tail,"--no-inline --pass-order=inline,unroll,tail",10243,612,5,1,20.398017004481517,20.73048499005381,22.039285002392717,75025
rt01-fib-recursive,no-inline,inline-tail-unroll,"--no-inline --pass-order=inline,tail,unroll",10243,612,5,1,20.459964500332717,21.304028006852604,22.23461900575785,75025
rt01-fib-recursive,no-inline,unroll-inline-tail,"--no-inline --pass-order=unroll,inline,tail",10243,612,5,1,21.041369502199814,21.17971699044574,22.229125497688074,75025
rt01-fib-recursive,no-inline,unroll-tail-inline,"--no-inline --pass-order=unroll,tail,inline",10243,612,5,1,20.552524998493027,21.07455299119465,21.603817003779113,75025
rt01-fib-recursive,no-inline,tail-inline-unroll,"--no-inline --pass-order=tail,inline,unroll",10243,612,5,1,20.833447997574694,21.467945000040345,21.82943950901972,75025
rt01-fib-recursive,no-inline,tail-unroll-inline,"--no-inline --pass-order=tail,unroll,inline",10243,612,5,1,20.55958400160307,20.927343997755088,21.765301491541322,75025
rt01-fib-recursive,unroll-4,inline-unroll-tail,"--unroll-factor=4 --pass-order=inline,unroll,tail",10243,612,5,1,20.209880502079614,20.547427993733436,21.429699001600966,75025
rt01-fib-recursive,unroll-4,inline-tail-unroll,"--unroll-factor=4 --pass-order=inline,tail,unroll",10243,612,5,1,20.91919100348605,21.296702994732186,22.523932500917,75025
rt01-fib-recursive,unroll-4,unroll-inline-tail,"--unroll-factor=4 --pass-order=unroll,inline,tail",10243,612,5,1,20.41957100300351,20.92314999026712,21.316597492841538,75025
rt01-fib-recursive,unroll-4,unroll-tail-inline,"--unroll-factor=4 --pass-order=unroll,tail,inline",10243,612,5,1,20.949593505065423,21.455340000102296,21.798262998345308,75025
rt01-fib-recursive,unroll-4,tail-inline-unroll,"--unroll-factor=4 --pass-order=tail,inline,unroll",10243,612,5,1,20.82471100584371,20.931303006364033,21.285413000441622,75025
rt01-fib-recursive,unroll-4,tail-unroll-inline,"--unroll-factor=4 --pass-order=tail,unroll,inline",10243,612,5,1,20.559360506013036,21.527912002056837,22.11452899791766,75025
rt01-fib-recursive,unroll-8,inline-unroll-tail,"--unroll-factor=8 --pass-order=inline,unroll,tail",10243,612,5,1,20.52075249957852,20.785450004041195,20.993486999941524,75025
