benchmark,variant,flags,wat_size,wasm_size,runs,warmup_runs,p25_ms,median_ms,p75_ms,result
fib,baseline,,10243,612,1,0,29.25006503937766,29.25006503937766,29.25006503937766,6765
fib,no-inline,--no-inline,10243,612,1,0,23.206721001770347,23.206721001770347,23.206721001770347,6765
fib,unroll-4,--unroll-factor=4,10243,612,1,0,21.792011975776404,21.792011975776404,21.792011975776404,6765
fib,unroll-8,--unroll-factor=8,10243,612,1,0,22.48921600403264,22.48921600403264,22.48921600403264,6765
fib,tail-off,--tail=off,10243,612,1,0,20.347881014458835,20.347881014458835,20.347881014458835,6765
fib,combo-inline-unroll,--unroll-factor=4 --no-inline,10243,612,1,0,20.687876967713237,20.687876967713237,20.687876967713237,6765
factorial,baseline,,10899,630,1,0,23.40865501901135,23.40865501901135,23.40865501901135,479001600
factorial,no-inline,--no-inline,10899,630,1,0,21.53719204943627,21.53719204943627,21.53719204943627,479001600
factorial,unroll-4,--unroll-factor=4,10899,630,1,0,20.53143602097407,20.53143602097407,20.53143602097407,479001600
factorial,unroll-8,--unroll-factor=8,10899,630,1,0,23.947723966557533,23.947723966557533,23.947723966557533,479001600
factorial,tail-off,--tail=off,10899,630,1,0,24.999065964948386,24.999065964948386,24.999065964948386,479001600
factorial,combo-inline-unroll,--unroll-factor=4 --no-inline,10899,630,1,0,22.024010017048568,22.024010017048568,22.024010017048568,479001600
loop-sum,baseline,,12470,648,1,0,20.91286500217393,20.91286500217393,20.91286500217393,2999000
loop-sum,no-inline,--no-inline,12470,648,1,0,20.713730016723275,20.713730016723275,20.713730016723275,2999000
loop-sum,unroll-4,--unroll-factor=4,12470,648,1,0,23.02878798218444,23.02878798218444,23.02878798218444,2999000
loop-sum,unroll-8,--unroll-factor=8,12470,648,1,0,24.101112969219685,24.101112969219685,24.101112969219685,2999000
loop-sum,tail-off,--tail=off,12470,648,1,0,20.601823984179646,20.601823984179646,20.601823984179646,2999000
loop-sum,combo-inline-unroll,--unroll-factor=4 --no-inline,12470,648,1,0,21.169881045352668,21.169881045352668,21.169881045352668,2999000
string-work,baseline,,12881,678,1,0,22.794521995820105,22.794521995820105,22.794521995820105,64
string-work,no-inline,--no-inline,12881,678,1,0,22.89887802908197,22.89887802908197,22.89887802908197,64
string-work,unroll-4,--unroll-factor=4,12881,678,1,0,21.34811697760597,21.34811697760597,21.34811697760597,64
string-work,unroll-8,--unroll-factor=8,12881,678,1,0,20.910656021442264,20.910656021442264,20.910656021442264,64
string-work,tail-off,--tail=off,12881,678,1,0,23.02599197719246,23.02599197719246,23.02599197719246,64
string-work,combo-inline-unroll,--unroll-factor=4 --no-inline,12881,678,1,0,20.85199998691678,20.85199998691678,20.85199998691678,64
nested-loop,baseline,,19706,753,1,0,19.99808195978403,19.99808195978403,19.99808195978403,104448
nested-loop,no-inline,--no-inline,19706,753,1,0,20.51898295758292,20.51898295758292,20.51898295758292,104448
nested-loop,unroll-4,--unroll-factor=4,19706,753,1,0,20.199050020892173,20.199050020892173,20.199050020892173,104448
nested-loop,unroll-8,--unroll-factor=8,24185,817,1,0,20.67256299778819,20.67256299778819,20.67256299778819,104448
nested-loop,tail-off,--tail=off,19706,753,1,0,21.315343969035894,21.315343969035894,21.315343969035894,104448
nested-loop,combo-inline-unroll,--unroll-factor=4 --no-inline,19706,753,1,0,20.82572103245184,20.82572103245184,20.82572103245184,104448
